gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,length,date,uploaded,animal-seen,playback-used,q
Dendrocygna,bicolor,,birds,Fulvous Whistling Duck,Albert Noorlander,Netherlands,"IJsselstein, IJsselstein, Utrecht",52.0149,5.0379,0,nocturnal flight call,,,field recording,//xeno-canto.org/601542,https://xeno-canto.org/601542/download,XC601542-ID Unknown 20201109-01a (NFC 18.20).mp3,0:04,2020-11-09,2020-11-10,no,no,A
Branta,bernicla,,birds,Brant Goose,Michel Veldt,Netherlands,"Buren, Ameland, Friesland",53.449,5.8246,0,call,,,field recording,//xeno-canto.org/769285,https://xeno-canto.org/769285/download,XC769285-Rotgans-roep---Nes---2021-04-16---1200-copy.mp3,0:13,2021-04-16,2022-12-16,yes,no,A
Branta,bernicla,bernicla,birds,Brant Goose,Arend Wassink,Netherlands,"Wagejot, Oosterend, Texel, Noord-Holland",53.1094,4.8958,0,call,,"adult, juvenile",field recording,//xeno-canto.org/627472,https://xeno-canto.org/627472/download,XC627472-Branta bernicla bernicla calls of flock of c 400 Wagejot Texel Netherlands 8 March 2021 11.44 hr (Arend Wassink).mp3,2:54,2021-03-08,2021-03-08,yes,no,A
Branta,bernicla,bernicla,birds,Brant Goose,Thijs Fijen,Netherlands,"wad bij Lange Paal, Vlieland",53.283,5.039,0,call,,,field recording,//xeno-canto.org/440582,https://xeno-canto.org/440582/download,XC440582-Rotgans_20181019_04_foerageerroep_wad.mp3,1:07,2018-10-19,2018-10-29,yes,no,A
Branta,bernicla,bernicla,birds,Brant Goose,Ruud van Beusekom,Netherlands,"Oosterend, Texel, Noord-Holland",53.0978,4.896,-5,"call, flight call","female, male",juvenile,field recording,//xeno-canto.org/295121,https://xeno-canto.org/295121/download,XC295121-rotgans8nov2015OostTexelLS101498.mp3,0:34,2015-11-08,2015-12-14,yes,no,A
Branta,bernicla,,birds,Brant Goose,Peter Boesman,Netherlands,"Flauwerse Inlagen, Zeeland",51.683,3.839,,call,,,field recording,//xeno-canto.org/280908,https://xeno-canto.org/280908/download,XC280908-018 5 Rotgans 5 Roep.mp3,0:28,2008-02-16,2015-09-19,unknown,unknown,A
Branta,bernicla,,birds,Brant Goose,Peter Boesman,Netherlands,"Ouddorp, Goeree, Zeeland",51.804,3.959,,call,,,field recording,//xeno-canto.org/280907,https://xeno-canto.org/280907/download,XC280907-018 4 Rotgans 4 Roep.mp3,0:15,2006-12-29,2015-09-19,unknown,unknown,A
Branta,bernicla,,birds,Brant Goose,Willem-Pier Vellinga,Netherlands,"wad bij Lange Paal, Vlieland",53.283,5.039,0,call,,,field recording,//xeno-canto.org/100537,https://xeno-canto.org/100537/download,Rotgans_05092010_091_192kbps.mp3,1:32,2012-04-29,2012-05-07,unknown,unknown,A
Branta,bernicla,,birds,Brant Goose,Jan-Kees Bossenbroek,Netherlands,Oesterdam,51.474,4.217,0,call,,,field recording,//xeno-canto.org/66878,https://xeno-canto.org/66878/download,Rotgans_20101206_Oesterdam.mp3,0:27,2010-12-06,2010-12-18,unknown,unknown,A
Branta,bernicla,,birds,Brant Goose,Jan-Kees Bossenbroek,Netherlands,Oesterdam,51.474,4.217,0,call,,,field recording,//xeno-canto.org/66132,https://xeno-canto.org/66132/download,Rotgans2_20101206_Oesterdam.mp3,0:29,2010-12-06,2010-12-06,unknown,unknown,A
